bp	genome_feature	SNP_count	consistency_index	CountsACGT	Min.No.ChangesonTree	Protein	Function
280	ORF1a	7	0.250000000	0:46612:0:7	  4	Nsp1	Suppresses host antiviral response
281	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
282	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
283	ORF1a	2	0	0	0	Nsp1	Suppresses host antiviral response
284	ORF1a	6	0.500000000	2:0:46608:4	  4	Nsp1	Suppresses host antiviral response
285	ORF1a	7	0	0	0	Nsp1	Suppresses host antiviral response
286	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
287	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
288	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
289	ORF1a	7	0.666666667	1:46608:0:6	  3	Nsp1	Suppresses host antiviral response
290	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
291	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
292	ORF1a	8	0.166666667	0:46606:0:8	  6	Nsp1	Suppresses host antiviral response
293	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
294	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
295	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
296	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
297	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
298	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
299	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
300	ORF1a	6	0.200000000	0:46608:0:6	  5	Nsp1	Suppresses host antiviral response
301	ORF1a	2	0	0	0	Nsp1	Suppresses host antiviral response
302	ORF1a	8	0.333333333	0:46601:0:8	  3	Nsp1	Suppresses host antiviral response
303	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
304	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
305	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
306	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
307	ORF1a	5	0.333333333	0:46601:0:5	  3	Nsp1	Suppresses host antiviral response
308	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
309	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
310	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
311	ORF1a	2	0	0	0	Nsp1	Suppresses host antiviral response
312	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
313	ORF1a	940	0.016393443	0:45648:0:940	 61	Nsp1	Suppresses host antiviral response
314	ORF1a	2	0	0	0	Nsp1	Suppresses host antiviral response
315	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
316	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
317	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
318	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
319	ORF1a	2	0.500000000	2:0:46602:0	  2	Nsp1	Suppresses host antiviral response
320	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
321	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
322	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
323	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
324	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
325	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
326	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
327	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
328	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
329	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
330	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
331	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
332	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
333	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
334	ORF1a	3	0.500000000	0:3:0:46613	  2	Nsp1	Suppresses host antiviral response
335	ORF1a	27	0.058823529	0:46584:0:27	 17	Nsp1	Suppresses host antiviral response
336	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
337	ORF1a	36	0.055555556	0:46572:0:36	 18	Nsp1	Suppresses host antiviral response
338	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
339	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
340	ORF1a	2	0.500000000	0:46615:0:2	  2	Nsp1	Suppresses host antiviral response
341	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
342	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
343	ORF1a	18	0.250000000	0:0:46667:18	  4	Nsp1	Suppresses host antiviral response
344	ORF1a	16	0.100000000	0:46669:0:16	 10	Nsp1	Suppresses host antiviral response
345	ORF1a	3	0.666666667	0:1:2:46682	  3	Nsp1	Suppresses host antiviral response
346	ORF1a	11	0.125000000	0:46670:0:11	  8	Nsp1	Suppresses host antiviral response
347	ORF1a	3	0.333333333	3:0:46682:0	  3	Nsp1	Suppresses host antiviral response
348	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
349	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
350	ORF1a	5	0	0	0	Nsp1	Suppresses host antiviral response
351	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
352	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
353	ORF1a	4	0.500000000	3:0:46682:1	  4	Nsp1	Suppresses host antiviral response
354	ORF1a	39	0.500000000	38:0:46646:0	  2	Nsp1	Suppresses host antiviral response
355	ORF1a	15	0.166666667	0:46669:0:15	  6	Nsp1	Suppresses host antiviral response
356	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
357	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
358	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
359	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
360	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
361	ORF1a	16	0.250000000	46673:0:16:0	  4	Nsp1	Suppresses host antiviral response
362	ORF1a	9	0.200000000	9:0:46680:0	  5	Nsp1	Suppresses host antiviral response
363	ORF1a	9	0	0	0	Nsp1	Suppresses host antiviral response
364	ORF1a	5	0.333333333	0:46685:0:5	  3	Nsp1	Suppresses host antiviral response
365	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
366	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
367	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
368	ORF1a	3	0.666666667	1:0:46688:2	  3	Nsp1	Suppresses host antiviral response
369	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
370	ORF1a	12	0.222222222	4:0:46676:8	  9	Nsp1	Suppresses host antiviral response
371	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
372	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
373	ORF1a	4	0.666666667	3:0:46688:1	  3	Nsp1	Suppresses host antiviral response
374	ORF1a	16	0.500000000	16:0:46679:0	  2	Nsp1	Suppresses host antiviral response
375	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
376	ORF1a	10	0.333333333	1:1:46687:8	  9	Nsp1	Suppresses host antiviral response
377	ORF1a	3	0.333333333	0:0:46695:3	  3	Nsp1	Suppresses host antiviral response
378	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
379	ORF1a	254	0.200000000	254:46437:0:0	  5	Nsp1	Suppresses host antiviral response
380	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
381	ORF1a	4	0	0	0	Nsp1	Suppresses host antiviral response
382	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
383	ORF1a	2	0.500000000	0:2:0:46694	  2	Nsp1	Suppresses host antiviral response
384	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
385	ORF1a	9	0.500000000	46687:0:8:1	  4	Nsp1	Suppresses host antiviral response
386	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
387	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
388	ORF1a	4	0.500000000	3:0:46688:1	  4	Nsp1	Suppresses host antiviral response
389	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
390	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
391	ORF1a	2	0	0	0	Nsp1	Suppresses host antiviral response
392	ORF1a	7	0.500000000	0:46694:0:7	  2	Nsp1	Suppresses host antiviral response
393	ORF1a	14	0.500000000	12:0:46685:0	  2	Nsp1	Suppresses host antiviral response
394	ORF1a	2	0.500000000	0:2:0:46698	  2	Nsp1	Suppresses host antiviral response
395	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
396	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
397	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
398	ORF1a	16	0.142857143	0:46680:0:16	  7	Nsp1	Suppresses host antiviral response
399	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
400	ORF1a	3	0.500000000	0:3:0:46702	  2	Nsp1	Suppresses host antiviral response
401	ORF1a	5	0.250000000	0:46701:0:5	  4	Nsp1	Suppresses host antiviral response
402	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
403	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
404	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
405	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
406	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
407	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
408	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
409	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
410	ORF1a	12	0.125000000	0:0:46692:12	  8	Nsp1	Suppresses host antiviral response
411	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
412	ORF1a	2	0	0	0	Nsp1	Suppresses host antiviral response
413	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
414	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
415	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
416	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
417	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
418	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
419	ORF1a	12	0	0	0	Nsp1	Suppresses host antiviral response
420	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
421	ORF1a	4	0.250000000	0:46699:0:4	  4	Nsp1	Suppresses host antiviral response
422	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
423	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
424	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
425	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
426	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
427	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
428	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
429	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
430	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
431	ORF1a	35	0.500000000	35:0:46672:0	  2	Nsp1	Suppresses host antiviral response
432	ORF1a	2	0	0	0	Nsp1	Suppresses host antiviral response
433	ORF1a	7	0	0	0	Nsp1	Suppresses host antiviral response
434	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
435	ORF1a	9	0.500000000	46684:0:9:0	  2	Nsp1	Suppresses host antiviral response
436	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
437	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
438	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
439	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
440	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
441	ORF1a	4	0.333333333	4:0:46702:0	  3	Nsp1	Suppresses host antiviral response
442	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
443	ORF1a	6	0.333333333	5:0:46699:1	  6	Nsp1	Suppresses host antiviral response
444	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
445	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
446	ORF1a	2	0	0	0	Nsp1	Suppresses host antiviral response
447	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
448	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
449	ORF1a	3	0.333333333	0:46702:0:3	  3	Nsp1	Suppresses host antiviral response
450	ORF1a	2	0.500000000	0:46704:0:2	  2	Nsp1	Suppresses host antiviral response
451	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
452	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
453	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
454	ORF1a	2	0	0	0	Nsp1	Suppresses host antiviral response
455	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
456	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
457	ORF1a	2	0	0	0	Nsp1	Suppresses host antiviral response
458	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
459	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
460	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
461	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
462	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
463	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
464	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
465	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
466	ORF1a	4	0.500000000	1:46705:0:3	  4	Nsp1	Suppresses host antiviral response
467	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
468	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
469	ORF1a	2	0	0	0	Nsp1	Suppresses host antiviral response
470	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
471	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
472	ORF1a	7	0	0	0	Nsp1	Suppresses host antiviral response
473	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
474	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
475	ORF1a	8	0.250000000	0:46701:0:8	  4	Nsp1	Suppresses host antiviral response
476	ORF1a	14	0.500000000	46696:0:14:0	  2	Nsp1	Suppresses host antiviral response
477	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
478	ORF1a	39	0.250000000	0:46671:0:39	  4	Nsp1	Suppresses host antiviral response
479	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
480	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
481	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
482	ORF1a	2	0.500000000	0:46706:0:2	  2	Nsp1	Suppresses host antiviral response
483	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
484	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
485	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
486	ORF1a	3	0.333333333	0:46707:0:3	  3	Nsp1	Suppresses host antiviral response
